Avg_Betweenness,Avg_Closeness,Avg_Degree,Density,Diameter
220.0519,0.1508,2.2597,0.0297,13
321.422,0.1463,2.4037,0.0223,14
308.51,0.1421,2.28,0.023,15
224.2055,0.1423,2.2192,0.0308,17
332.9159,0.1405,2.3551,0.0222,15
414.0476,0.1344,2.3175,0.0185,15
310.898,0.1389,2.3061,0.0238,15
497.3333,0.1219,2.2963,0.0171,19
487.3699,0.132,2.3699,0.0163,16
425.1538,0.1238,2.2735,0.0196,19
427.0333,0.1265,2.3333,0.0196,20
438.0,0.1221,2.2881,0.0196,21
500.685,0.1159,2.2992,0.0182,22
383.4464,0.1295,2.3214,0.0209,17
447.918,0.1215,2.2787,0.0188,17
402.2018,0.127,2.3158,0.0205,18
419.15,0.1281,2.35,0.0197,18
388.3419,0.1333,2.3248,0.02,17
451.0703,0.1262,2.3281,0.0183,18
360.6569,0.1268,2.2745,0.0225,18
469.7103,0.1066,2.2804,0.0215,26
458.0866,0.1238,2.3307,0.0185,18
367.0762,0.1272,2.2667,0.0218,18
389.1404,0.1303,2.3509,0.0208,18
385.6814,0.1302,2.354,0.021,18
343.9612,0.1325,2.3495,0.023,17
442.418,0.1241,2.3279,0.0192,20
395.3119,0.1239,2.2569,0.0209,19
423.056,0.1311,2.336,0.0188,17
500.0672,0.11,2.2689,0.0192,24
429.0086,0.1215,2.2931,0.0199,21
439.8487,0.1222,2.2857,0.0194,21
313.2143,0.1378,2.3265,0.024,17
326.4423,0.139,2.3462,0.0228,16
305.9806,0.1469,2.3689,0.0232,15
196.8806,0.1475,2.2687,0.0344,17
300.2772,0.1463,2.3762,0.0238,15
314.8163,0.1369,2.2857,0.0236,15
401.3158,0.1261,2.3333,0.0206,19
294.4286,0.1364,2.2857,0.0254,18
384.8288,0.1279,2.2883,0.0208,17
475.9444,0.1199,2.2857,0.0183,21
361.3796,0.132,2.2963,0.0215,17
331.301,0.1364,2.2913,0.0225,16
285.9239,0.141,2.2609,0.0248,15
315.3981,0.1423,2.3301,0.0228,14
319.1212,0.1362,2.2828,0.0233,17
365.5495,0.1337,2.3243,0.0211,16
297.7111,0.1341,2.2889,0.0257,18
410.3393,0.1225,2.3036,0.0208,20
409.4483,0.1272,2.3276,0.0202,20
337.0769,0.1355,2.2885,0.0222,16
213.6714,0.1426,2.2,0.0319,16
381.9099,0.1301,2.2883,0.0208,19
376.4898,0.1186,2.2245,0.0229,23
286.2921,0.1365,2.2697,0.0258,17
266.25,0.1386,2.2857,0.0275,16
301.7245,0.1411,2.3673,0.0244,16
353.6116,0.1289,2.3107,0.0227,18
558.8209,0.1099,2.2537,0.0169,22
150.7368,0.1602,2.2105,0.0395,13
279.6484,0.1423,2.2637,0.0252,15
226.859,0.1489,2.2564,0.0293,14
300.2292,0.1399,2.3125,0.0243,16
127.4643,0.1807,2.3214,0.0422,12
321.9479,0.1322,2.3125,0.0243,18
341.8774,0.1361,2.3396,0.0223,16
456.8803,0.1164,2.2906,0.0197,21
470.7222,0.1211,2.3175,0.0185,21
406.3833,0.1305,2.3333,0.0196,16
