Avg_Betweenness,Avg_Closeness,Avg_Degree,Density,Diameter
19.7632,0.4937,3.6316,0.0982,4
20.7073,0.5009,5.4634,0.1366,4
20.1026,0.4955,4.3077,0.1134,4
24.0444,0.4878,3.7333,0.0848,4
19.8182,0.5272,5.6364,0.1311,3
17.5278,0.5112,4.7778,0.1365,4
20.2143,0.5124,4.8095,0.1173,4
19.7381,0.5192,5.8095,0.1417,3
22.6444,0.5013,5.6444,0.1283,3
18.4737,0.5106,4.7368,0.128,4
20.4103,0.4949,5.8974,0.1552,4
16.6944,0.522,5.7778,0.1651,4
19.675,0.5084,6.25,0.1603,4
18.7222,0.494,5.7222,0.1635,4
20.9048,0.5052,5.5238,0.1347,4
22.0455,0.5031,5.8182,0.1353,4
23.0465,0.4864,5.5349,0.1318,4
23.0222,0.499,5.5556,0.1263,4
19.5278,0.4847,5.4444,0.1556,4
14.9375,0.5196,6.0625,0.1956,4
28.3333,0.4653,7.0833,0.1507,5
19.5333,0.5409,12.5778,0.2859,4
23.2683,0.4737,5.2195,0.1305,5
20.1,0.503,6.0,0.1538,4
18.9737,0.5055,6.3684,0.1721,4
19.3171,0.518,5.7561,0.1439,4
24.2444,0.4864,5.8222,0.1323,4
24.4222,0.484,5.5556,0.1263,4
17.9412,0.4909,5.1176,0.1551,4
22.75,0.4739,5.4,0.1385,5
23.0217,0.5037,7.3913,0.1643,4
22.8478,0.5137,12.3913,0.2754,5
20.825,0.4942,5.3,0.1359,4
21.675,0.4841,5.25,0.1346,4
20.775,0.4956,5.65,0.1449,4
12.8077,0.5078,4.3846,0.1754,4
25.0417,0.4935,5.5833,0.1188,4
22.7619,0.4863,5.8095,0.1417,4
17.8235,0.4944,5.4706,0.1658,4
15.6667,0.495,4.4667,0.154,4
24.5106,0.4946,8.6809,0.1887,4
23.5532,0.5076,11.1489,0.2424,4
16.9444,0.5172,5.5556,0.1587,3
20.0513,0.4967,5.2821,0.139,3
11.2308,0.5377,4.0,0.16,3
19.9524,0.5156,5.5238,0.1347,3
19.9231,0.4993,5.1795,0.1363,3
19.0263,0.5046,5.6842,0.1536,4
16.6875,0.4937,4.75,0.1532,4
21.0,0.5169,9.7727,0.2273,4
23.4082,0.5191,12.1224,0.2526,4
17.3684,0.5244,5.0,0.1351,3
9.6667,0.5527,3.6667,0.1594,2
19.0256,0.5102,5.2308,0.1377,4
18.3056,0.4992,5.3333,0.1524,3
17.8,0.5009,5.9429,0.1748,4
22.4146,0.4838,5.3171,0.1329,5
21.3913,0.5262,10.7826,0.2396,4
24.6,0.5101,11.36,0.2318,4
19.2979,0.5537,13.1915,0.2868,4
9.875,0.5478,3.25,0.1413,2
15.4848,0.5188,4.9697,0.1553,4
17.5938,0.4814,5.0,0.1613,4
23.9767,0.479,4.9302,0.1174,5
27.1489,0.471,5.4894,0.1193,5
22.8571,0.5208,9.5918,0.1998,4
23.7143,0.5133,10.6531,0.2219,4
21.3673,0.5377,12.5714,0.2619,3
22.2979,0.5156,8.9362,0.1943,3
22.1458,0.523,8.0,0.1702,3
27.26,0.4832,6.92,0.1412,4
22.8542,0.5197,12.2917,0.2615,5
24.14,0.5136,11.2,0.2286,4
10.8636,0.5055,3.2727,0.1558,4
19.3611,0.4869,4.6667,0.1333,4
18.7368,0.5072,4.7895,0.1294,4
26.3261,0.4715,4.9565,0.1101,4
25.2391,0.4819,6.087,0.1353,4
26.1915,0.4815,8.4681,0.1841,5
24.1915,0.4978,9.2766,0.2017,4
23.3469,0.5171,10.6531,0.2219,4
25.7143,0.4932,7.5918,0.1582,4
25.8367,0.4914,7.3061,0.1522,4
25.4894,0.4852,7.0638,0.1536,4
22.6735,0.5239,11.7959,0.2457,4
23.6531,0.5118,11.0204,0.2296,4
25.54,0.5005,10.72,0.2188,5
10.5455,0.5103,3.1818,0.1515,3
20.0571,0.4704,4.1714,0.1227,4
21.9444,0.4563,3.9444,0.1127,5
29.7391,0.4405,4.6522,0.1034,5
27.2444,0.4572,5.5556,0.1263,4
25.7083,0.4912,8.5,0.1809,5
25.4583,0.4903,7.5833,0.1613,4
26.4694,0.4866,9.1837,0.1913,4
23.5435,0.4985,7.6522,0.17,4
23.7391,0.4968,7.3913,0.1643,4
27.9388,0.4727,7.102,0.148,4
26.16,0.4942,10.04,0.2049,4
24.6042,0.4984,9.625,0.2048,4
25.14,0.5038,10.48,0.2139,4
23.6818,0.4877,6.0909,0.1416,5
12.3809,0.4589,2.8571,0.1429,4
22.6053,0.4616,3.6842,0.0996,4
26.2381,0.4512,3.9048,0.0952,5
25.2553,0.4851,5.3617,0.1166,4
25.4348,0.4798,5.7826,0.1285,5
25.5833,0.4894,8.5833,0.1826,4
26.74,0.4875,7.76,0.1584,4
24.087,0.4941,8.7391,0.1942,4
25.9375,0.4866,6.8333,0.1454,4
27.1042,0.474,7.2917,0.1551,4
27.62,0.48,6.96,0.142,4
24.0,0.5128,9.84,0.2008,4
24.6123,0.5032,9.9592,0.2075,4
20.7955,0.5184,10.0,0.2326,4
21.9767,0.4995,5.8605,0.1395,4
24.2273,0.4838,6.3182,0.1469,4
22.3182,0.5007,6.2273,0.1448,4
9.6842,0.494,2.9474,0.1637,4
23.7805,0.4667,4.0488,0.1012,4
22.4091,0.5002,5.5,0.1279,4
27.98,0.4783,6.44,0.1314,4
24.4255,0.4944,6.7234,0.1462,4
27.3125,0.4751,9.125,0.1941,5
26.3878,0.485,7.7551,0.1616,4
25.7292,0.4887,8.9167,0.1897,4
27.0204,0.4808,7.6327,0.159,4
20.9333,0.52,7.4222,0.1687,3
28.12,0.4764,7.16,0.1461,4
25.72,0.4983,10.4,0.2122,4
24.0625,0.5046,11.0833,0.2358,4
21.2667,0.5199,11.1111,0.2525,4
19.4286,0.5221,6.8571,0.1672,3
28.0426,0.4645,6.5957,0.1434,5
20.8372,0.512,7.3488,0.175,3
10.7143,0.4936,2.9524,0.1476,3
23.3913,0.4997,5.1304,0.114,4
25.1304,0.4837,6.5652,0.1459,5
23.4255,0.5051,8.7234,0.1896,4
25.0638,0.4888,8.0851,0.1758,4
22.1333,0.5103,10.5333,0.2394,4
26.898,0.4835,8.9388,0.1862,4
24.5319,0.4952,9.4468,0.2054,4
26.8085,0.4783,8.3404,0.1813,5
26.9388,0.4816,6.9796,0.1454,4
26.898,0.4814,6.2041,0.1293,4
24.2041,0.5066,10.7755,0.2245,4
24.58,0.5101,11.44,0.2335,4
22.2766,0.5197,11.7021,0.2544,4
25.3696,0.4806,5.6522,0.1256,4
28.3542,0.4661,6.0833,0.1294,4
25.5349,0.4667,6.2791,0.1495,5
23.25,0.5131,11.9583,0.2544,4
24.9575,0.4925,11.1064,0.2414,5
26.1064,0.4795,5.617,0.1221,4
26.8333,0.477,4.0833,0.0869,4
26.0455,0.4632,4.4091,0.1025,4
24.4694,0.5037,6.3265,0.1318,3
25.6458,0.4884,8.3333,0.1773,4
25.6531,0.4945,9.3061,0.1939,4
24.2857,0.5094,10.6939,0.2228,4
24.3958,0.503,10.875,0.2314,4
24.5833,0.5014,10.8333,0.2305,4
27.0,0.4834,10.0,0.2083,4
28.0204,0.4742,8.0408,0.1675,5
26.6667,0.4786,7.1667,0.1525,4
27.3333,0.4731,5.8333,0.1241,4
23.4792,0.5094,10.0833,0.2145,4
22.2041,0.5285,11.7959,0.2457,4
21.2917,0.5322,11.625,0.2473,3
24.5455,0.4777,5.0,0.1163,4
25.913,0.4753,5.8261,0.1295,4
26.898,0.4827,9.7143,0.2024,4
23.4167,0.5115,11.75,0.25,4
23.3333,0.5145,12.2083,0.2598,4
22.087,0.5131,10.7391,0.2386,4
23.6591,0.4861,5.7727,0.1342,4
25.1778,0.4771,4.7111,0.1071,4
23.6,0.4918,6.0889,0.1384,3
20.9429,0.4589,3.4857,0.1025,4
21.5455,0.5076,5.5,0.1279,3
24.0408,0.5082,6.898,0.1437,4
25.375,0.4924,8.9167,0.1897,4
25.8298,0.4848,9.5745,0.2081,4
25.7292,0.4938,10.9583,0.2332,5
26.44,0.4934,10.88,0.222,4
27.5714,0.4792,10.0,0.2083,5
23.875,0.5063,10.1667,0.2163,4
23.617,0.5031,7.7447,0.1684,4
25.5833,0.4879,7.125,0.1516,4
22.0217,0.5152,7.3913,0.1643,4
24.7826,0.4886,9.0,0.2,5
24.0,0.5068,11.4583,0.2438,4
21.0833,0.5363,12.125,0.258,4
22.186,0.4965,5.8605,0.1395,4
28.9184,0.4644,6.1633,0.1284,5
24.1489,0.5009,11.1489,0.2424,5
25.6042,0.4933,11.7917,0.2509,4
24.0213,0.5029,11.8723,0.2581,5
23.8723,0.5043,11.4894,0.2498,5
26.087,0.4744,6.6522,0.1478,4
25.5333,0.4729,5.2889,0.1202,4
21.9545,0.5038,6.5,0.1512,3
27.2766,0.4683,7.1064,0.1545,4
23.641,0.4572,3.8974,0.1026,5
24.3864,0.4817,4.9091,0.1142,5
22.4375,0.5197,6.9167,0.1472,3
25.875,0.4894,8.5417,0.1817,5
26.625,0.4809,9.0,0.1915,4
27.9167,0.4736,10.5417,0.2243,5
27.7917,0.472,10.5,0.2234,5
26.9388,0.4841,9.6735,0.2015,4
29.25,0.4591,6.375,0.1356,5
24.6667,0.4842,7.2889,0.1657,4
26.5556,0.4629,5.4667,0.1242,4
19.9762,0.5149,7.0476,0.1719,3
21.9545,0.5049,8.8182,0.2051,4
24.0833,0.505,11.4583,0.2438,4
23.9583,0.5069,10.75,0.2287,4
23.3404,0.5042,6.5957,0.1434,3
22.2553,0.516,6.6809,0.1452,3
24.9583,0.5012,11.0417,0.2349,5
22.6956,0.512,11.4783,0.2551,4
26.1458,0.4878,10.875,0.2314,5
25.3125,0.495,10.9583,0.2332,5
28.5106,0.4588,5.7447,0.1249,5
25.9767,0.4589,4.6047,0.1096,5
22.2326,0.4963,6.5116,0.155,4
21.8182,0.507,8.0909,0.1882,4
21.0488,0.4969,4.3902,0.1098,4
20.2619,0.5106,5.4286,0.1324,3
23.0,0.5147,8.125,0.1729,3
25.375,0.4932,8.7917,0.1871,5
25.617,0.4859,9.5745,0.2081,4
24.9574,0.4934,10.4255,0.2266,4
24.0435,0.4957,10.4348,0.2319,4
23.1304,0.5034,8.913,0.1981,4
25.3696,0.4813,6.6087,0.1469,4
26.4783,0.4712,6.1304,0.1362,5
22.3095,0.4885,5.5238,0.1347,4
19.878,0.5093,7.0732,0.1768,3
19.7619,0.5198,10.0,0.2439,4
25.4082,0.4995,11.6735,0.2432,5
25.0,0.4796,8.0889,0.1838,4
22.9111,0.4998,6.4444,0.1465,4
24.1875,0.502,5.3333,0.1135,4
25.9184,0.4946,10.0408,0.2092,4
23.4792,0.5129,11.25,0.2394,4
26.74,0.4917,11.12,0.2269,4
26.44,0.4908,6.84,0.1396,4
24.6087,0.4884,6.8696,0.1527,4
28.3261,0.4555,4.5652,0.1014,5
17.8974,0.5252,7.2821,0.1916,3
22.5435,0.5107,10.2609,0.228,4
21.6042,0.5327,12.9167,0.2748,4
22.9792,0.5175,11.4167,0.2429,4
20.5349,0.5144,5.6279,0.134,4
21.1702,0.5308,9.1064,0.198,4
23.0208,0.5157,9.9583,0.2119,4
23.3478,0.5024,10.0435,0.2232,4
21.9783,0.5176,10.3478,0.23,4
25.5745,0.4864,9.1064,0.198,5
24.0,0.4901,8.2222,0.1869,4
24.2889,0.4861,6.0889,0.1384,4
25.9362,0.4795,5.5745,0.1212,4
21.881,0.4939,5.7143,0.1394,4
22.0,0.488,6.1463,0.1537,4
23.4583,0.5127,11.4167,0.2429,4
25.18,0.5038,11.28,0.2302,4
