Avg_Betweenness,Avg_Closeness,Avg_Degree,Density,Diameter
6742.0405,0.2555,7.8992,0.0018,10
6823.7276,0.2516,10.2988,0.0023,9
6331.0096,0.2647,8.6711,0.0019,8
6817.2679,0.2525,9.0076,0.002,10
7142.1443,0.2424,9.4525,0.0021,9
6405.565,0.2638,9.6931,0.0022,8
6327.6046,0.2653,9.4346,0.0021,8
8335.386,0.2158,10.4547,0.0023,10
8376.6241,0.2152,10.1219,0.0023,10
7621.3448,0.233,9.806,0.0022,10
7001.3795,0.2458,10.9745,0.0025,8
6500.9402,0.2591,11.9588,0.0027,9
7373.019,0.2354,9.9037,0.0022,9
7228.1129,0.2395,10.3383,0.0023,8
7963.9162,0.2229,9.8082,0.0022,10
7587.5105,0.2314,10.4444,0.0023,9
8118.4836,0.2211,9.6582,0.0022,10
7350.2941,0.2362,10.1707,0.0023,8
6701.5329,0.2526,10.4875,0.0023,6
6739.14,0.2517,9.7957,0.0022,8
7599.3327,0.2312,10.5103,0.0024,11
11507.3793,0.166,8.9933,0.002,13
6889.1617,0.2478,9.8889,0.0022,8
7408.927,0.2347,10.2567,0.0023,9
7306.8199,0.2375,10.1918,0.0023,9
7472.7092,0.2341,9.9386,0.0022,9
8569.6537,0.2102,9.7764,0.0022,10
7343.7336,0.2356,9.5591,0.0021,7
6451.9819,0.2598,9.9659,0.0022,7
7117.9626,0.2422,10.7034,0.0024,9
8044.2399,0.221,11.2522,0.0025,11
10602.9068,0.1772,8.9539,0.002,13
7554.1501,0.2316,10.228,0.0023,9
7051.8474,0.244,9.3311,0.0021,9
7781.0712,0.2262,9.0161,0.002,10
6610.9852,0.2569,8.7137,0.002,8
9198.944,0.1977,9.4068,0.0021,10
7881.6046,0.2239,9.1891,0.0021,8
6375.3981,0.2626,10.9579,0.0025,8
6196.2354,0.2678,9.8056,0.0022,7
9685.7834,0.1911,10.2083,0.0023,13
10126.6823,0.1845,9.3714,0.0021,12
7705.4655,0.2294,8.9091,0.002,11
7664.1953,0.229,8.7711,0.002,8
8334.7076,0.2144,7.668,0.0017,9
7655.4294,0.2294,9.1478,0.002,8
7221.8734,0.2396,9.3486,0.0021,8
6373.7702,0.2626,11.026,0.0025,7
6911.5116,0.2477,9.7621,0.0022,8
9629.5726,0.1918,10.2814,0.0023,12
10151.2596,0.1838,9.6595,0.0022,12
7642.0103,0.2292,7.832,0.0018,9
6480.5636,0.2589,7.0703,0.0016,7
7723.9196,0.2271,8.4834,0.0019,8
7097.8815,0.2428,8.8423,0.002,8
7018.9872,0.2455,9.6725,0.0022,9
6776.4957,0.2511,10.4418,0.0023,8
9848.0524,0.1884,10.2536,0.0023,13
9983.8347,0.1859,9.5744,0.0021,12
11112.3772,0.1715,9.2625,0.0021,13
7383.1127,0.2347,6.5197,0.0015,8
7792.5464,0.2256,7.8754,0.0018,9
6526.3833,0.2575,9.3033,0.0021,9
6734.5836,0.2523,9.1568,0.0021,8
